"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"4 years"	"4"	"2018"	"2018"			2	4021168	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Female"	"F"	3	1976372	Unreliable
	"4 years"	"4"	"2019"	"2019"	"Male"	"M"	0	2066951	Unreliable
"Total"	"4 years"	"4"	"2019"	"2019"			3	4043323	Unreliable
"Total"	"4 years"	"4"					89	83641980	0.1
	"5 years"	"5"	"1999"	"1999"	"Female"	"F"	1	1950892	Unreliable
	"5 years"	"5"	"1999"	"1999"	"Male"	"M"	1	2048870	Unreliable
"Total"	"5 years"	"5"	"1999"	"1999"			2	3999762	Unreliable
	"5 years"	"5"	"2000"	"2000"	"Female"	"F"	0	1934031	Unreliable
	"5 years"	"5"	"2000"	"2000"	"Male"	"M"	2	2031072	Unreliable
"Total"	"5 years"	"5"	"2000"	"2000"			2	3965103	Unreliable
	"5 years"	"5"	"2001"	"2001"	"Female"	"F"	2	1909212	Unreliable
	"5 years"	"5"	"2001"	"2001"	"Male"	"M"	0	2000821	Unreliable
"Total"	"5 years"	"5"	"2001"	"2001"			2	3910033	Unreliable
	"5 years"	"5"	"2002"	"2002"	"Female"	"F"	0	1876401	Unreliable
	"5 years"	"5"	"2002"	"2002"	"Male"	"M"	2	1960786	Unreliable
"Total"	"5 years"	"5"	"2002"	"2002"			2	3837187	Unreliable
	"5 years"	"5"	"2003"	"2003"	"Female"	"F"	3	1867683	Unreliable
	"5 years"	"5"	"2003"	"2003"	"Male"	"M"	1	1955885	Unreliable
"Total"	"5 years"	"5"	"2003"	"2003"			4	3823568	Unreliable
	"5 years"	"5"	"2004"	"2004"	"Female"	"F"	3	1871767	Unreliable
	"5 years"	"5"	"2004"	"2004"	"Male"	"M"	1	1957840	Unreliable
"Total"	"5 years"	"5"	"2004"	"2004"			4	3829607	Unreliable
	"5 years"	"5"	"2005"	"2005"	"Female"	"F"	2	1901483	Unreliable
	"5 years"	"5"	"2005"	"2005"	"Male"	"M"	2	1991645	Unreliable
