"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"2 years"	"2"	"2003"	"2003"			10	4002836	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Female"	"F"	6	1925324	Unreliable
	"2 years"	"2"	"2004"	"2004"	"Male"	"M"	5	2008411	Unreliable
"Total"	"2 years"	"2"	"2004"	"2004"			11	3933735	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Female"	"F"	2	1932337	Unreliable
	"2 years"	"2"	"2005"	"2005"	"Male"	"M"	2	2020295	Unreliable
"Total"	"2 years"	"2"	"2005"	"2005"			4	3952632	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Female"	"F"	2	1950420	Unreliable
	"2 years"	"2"	"2006"	"2006"	"Male"	"M"	4	2037699	Unreliable
"Total"	"2 years"	"2"	"2006"	"2006"			6	3988119	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Female"	"F"	2	1942309	Unreliable
	"2 years"	"2"	"2007"	"2007"	"Male"	"M"	0	2031170	Unreliable
"Total"	"2 years"	"2"	"2007"	"2007"			2	3973479	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Female"	"F"	0	1957878	Unreliable
	"2 years"	"2"	"2008"	"2008"	"Male"	"M"	2	2046268	Unreliable
"Total"	"2 years"	"2"	"2008"	"2008"			2	4004146	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Female"	"F"	0	2005270	Unreliable
	"2 years"	"2"	"2009"	"2009"	"Male"	"M"	2	2097732	Unreliable
"Total"	"2 years"	"2"	"2009"	"2009"			2	4103002	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Female"	"F"	0	2004731	Unreliable
	"2 years"	"2"	"2010"	"2010"	"Male"	"M"	1	2092198	Unreliable
"Total"	"2 years"	"2"	"2010"	"2010"			1	4096929	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Female"	"F"	3	1944761	Unreliable
	"2 years"	"2"	"2011"	"2011"	"Male"	"M"	4	2026999	Unreliable
"Total"	"2 years"	"2"	"2011"	"2011"			7	3971760	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Female"	"F"	3	1948274	Unreliable
	"2 years"	"2"	"2012"	"2012"	"Male"	"M"	1	2031683	Unreliable
"Total"	"2 years"	"2"	"2012"	"2012"			4	3979957	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Female"	"F"	5	1948680	Unreliable
	"2 years"	"2"	"2013"	"2013"	"Male"	"M"	2	2040455	Unreliable
"Total"	"2 years"	"2"	"2013"	"2013"			7	3989135	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Female"	"F"	0	1935270	Unreliable
	"2 years"	"2"	"2014"	"2014"	"Male"	"M"	1	2022502	Unreliable
"Total"	"2 years"	"2"	"2014"	"2014"			1	3957772	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Female"	"F"	4	1939979	Unreliable
	"2 years"	"2"	"2015"	"2015"	"Male"	"M"	1	2026604	Unreliable
"Total"	"2 years"	"2"	"2015"	"2015"			5	3966583	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Female"	"F"	2	1949132	Unreliable
	"2 years"	"2"	"2016"	"2016"	"Male"	"M"	1	2043022	Unreliable
"Total"	"2 years"	"2"	"2016"	"2016"			3	3992154	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Female"	"F"	4	1965150	Unreliable
	"2 years"	"2"	"2017"	"2017"	"Male"	"M"	4	2056625	Unreliable
"Total"	"2 years"	"2"	"2017"	"2017"			8	4021775	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Female"	"F"	2	1951366	Unreliable
	"2 years"	"2"	"2018"	"2018"	"Male"	"M"	1	2040071	Unreliable
"Total"	"2 years"	"2"	"2018"	"2018"			3	3991437	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Female"	"F"	1	1916500	Unreliable
	"2 years"	"2"	"2019"	"2019"	"Male"	"M"	2	2005544	Unreliable
"Total"	"2 years"	"2"	"2019"	"2019"			3	3922044	Unreliable
"Total"	"2 years"	"2"					94	83076786	0.1
	"3 years"	"3"	"1999"	"1999"	"Female"	"F"	1	1868553	Unreliable
	"3 years"	"3"	"1999"	"1999"	"Male"	"M"	1	1956253	Unreliable
"Total"	"3 years"	"3"	"1999"	"1999"			2	3824806	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Female"	"F"	2	1873836	Unreliable
	"3 years"	"3"	"2000"	"2000"	"Male"	"M"	2	1958963	Unreliable
"Total"	"3 years"	"3"	"2000"	"2000"			4	3832799	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Female"	"F"	2	1857443	Unreliable
	"3 years"	"3"	"2001"	"2001"	"Male"	"M"	0	1945267	Unreliable
"Total"	"3 years"	"3"	"2001"	"2001"			2	3802710	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Female"	"F"	1	1859439	Unreliable
	"3 years"	"3"	"2002"	"2002"	"Male"	"M"	0	1944897	Unreliable
"Total"	"3 years"	"3"	"2002"	"2002"			1	3804336	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Female"	"F"	2	1885740	Unreliable
	"3 years"	"3"	"2003"	"2003"	"Male"	"M"	3	1974987	Unreliable
"Total"	"3 years"	"3"	"2003"	"2003"			5	3860727	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Female"	"F"	0	1962287	Unreliable
	"3 years"	"3"	"2004"	"2004"	"Male"	"M"	2	2045933	Unreliable
"Total"	"3 years"	"3"	"2004"	"2004"			2	4008220	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Female"	"F"	1	1930395	Unreliable
	"3 years"	"3"	"2005"	"2005"	"Male"	"M"	0	2012820	Unreliable
"Total"	"3 years"	"3"	"2005"	"2005"			1	3943215	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Female"	"F"	2	1939447	Unreliable
	"3 years"	"3"	"2006"	"2006"	"Male"	"M"	3	2026575	Unreliable
"Total"	"3 years"	"3"	"2006"	"2006"			5	3966022	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Female"	"F"	3	1958867	Unreliable
	"3 years"	"3"	"2007"	"2007"	"Male"	"M"	3	2045144	Unreliable
"Total"	"3 years"	"3"	"2007"	"2007"			6	4004011	Unreliable
