"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"2 years"	"2"	"2019"	"2019"	"Male"	"M"	32	2005544	1.6
"Total"	"2 years"	"2"	"2019"	"2019"			66	3922044	1.7
"Total"	"2 years"	"2"					1885	83076786	2.3
	"3 years"	"3"	"1999"	"1999"	"Female"	"F"	47	1868553	2.5
	"3 years"	"3"	"1999"	"1999"	"Male"	"M"	63	1956253	3.2
"Total"	"3 years"	"3"	"1999"	"1999"			110	3824806	2.9
	"3 years"	"3"	"2000"	"2000"	"Female"	"F"	54	1873836	2.9
	"3 years"	"3"	"2000"	"2000"	"Male"	"M"	63	1958963	3.2
"Total"	"3 years"	"3"	"2000"	"2000"			117	3832799	3.1
	"3 years"	"3"	"2001"	"2001"	"Female"	"F"	55	1857443	3.0
	"3 years"	"3"	"2001"	"2001"	"Male"	"M"	74	1945267	3.8
"Total"	"3 years"	"3"	"2001"	"2001"			129	3802710	3.4
	"3 years"	"3"	"2002"	"2002"	"Female"	"F"	51	1859439	2.7
	"3 years"	"3"	"2002"	"2002"	"Male"	"M"	55	1944897	2.8
"Total"	"3 years"	"3"	"2002"	"2002"			106	3804336	2.8
	"3 years"	"3"	"2003"	"2003"	"Female"	"F"	41	1885740	2.2
	"3 years"	"3"	"2003"	"2003"	"Male"	"M"	55	1974987	2.8
"Total"	"3 years"	"3"	"2003"	"2003"			96	3860727	2.5
	"3 years"	"3"	"2004"	"2004"	"Female"	"F"	47	1962287	2.4
	"3 years"	"3"	"2004"	"2004"	"Male"	"M"	68	2045933	3.3
"Total"	"3 years"	"3"	"2004"	"2004"			115	4008220	2.9
	"3 years"	"3"	"2005"	"2005"	"Female"	"F"	38	1930395	2.0
	"3 years"	"3"	"2005"	"2005"	"Male"	"M"	56	2012820	2.8
"Total"	"3 years"	"3"	"2005"	"2005"			94	3943215	2.4
	"3 years"	"3"	"2006"	"2006"	"Female"	"F"	51	1939447	2.6
	"3 years"	"3"	"2006"	"2006"	"Male"	"M"	61	2026575	3.0
"Total"	"3 years"	"3"	"2006"	"2006"			112	3966022	2.8
	"3 years"	"3"	"2007"	"2007"	"Female"	"F"	45	1958867	2.3
	"3 years"	"3"	"2007"	"2007"	"Male"	"M"	49	2045144	2.4
"Total"	"3 years"	"3"	"2007"	"2007"			94	4004011	2.3
	"3 years"	"3"	"2008"	"2008"	"Female"	"F"	43	1952383	2.2
	"3 years"	"3"	"2008"	"2008"	"Male"	"M"	58	2039937	2.8
"Total"	"3 years"	"3"	"2008"	"2008"			101	3992320	2.5
	"3 years"	"3"	"2009"	"2009"	"Female"	"F"	42	1969393	2.1
	"3 years"	"3"	"2009"	"2009"	"Male"	"M"	59	2056282	2.9
"Total"	"3 years"	"3"	"2009"	"2009"			101	4025675	2.5
	"3 years"	"3"	"2010"	"2010"	"Female"	"F"	37	2014490	1.8
	"3 years"	"3"	"2010"	"2010"	"Male"	"M"	60	2104550	2.9
"Total"	"3 years"	"3"	"2010"	"2010"			97	4119040	2.4
	"3 years"	"3"	"2011"	"2011"	"Female"	"F"	39	2007550	1.9
	"3 years"	"3"	"2011"	"2011"	"Male"	"M"	61	2094735	2.9
"Total"	"3 years"	"3"	"2011"	"2011"			100	4102285	2.4
	"3 years"	"3"	"2012"	"2012"	"Female"	"F"	39	1949929	2.0
	"3 years"	"3"	"2012"	"2012"	"Male"	"M"	64	2032511	3.1
"Total"	"3 years"	"3"	"2012"	"2012"			103	3982440	2.6
	"3 years"	"3"	"2013"	"2013"	"Female"	"F"	41	1953120	2.1
	"3 years"	"3"	"2013"	"2013"	"Male"	"M"	56	2036418	2.7
"Total"	"3 years"	"3"	"2013"	"2013"			97	3989538	2.4
	"3 years"	"3"	"2014"	"2014"	"Female"	"F"	31	1956572	1.6
	"3 years"	"3"	"2014"	"2014"	"Male"	"M"	48	2048618	2.3
"Total"	"3 years"	"3"	"2014"	"2014"			79	4005190	2.0
	"3 years"	"3"	"2015"	"2015"	"Female"	"F"	49	1943417	2.5
	"3 years"	"3"	"2015"	"2015"	"Male"	"M"	53	2030644	2.6
"Total"	"3 years"	"3"	"2015"	"2015"			102	3974061	2.6
	"3 years"	"3"	"2016"	"2016"	"Female"	"F"	45	1947408	2.3
