"","LA","code","pop","cause","deaths","mortrate","country"
"261","North Lincolnshire","E06000013",172292,"ASD",19.2334674437448,11.1632968702812,"England"
"262","York","E06000014",210618,"ASD",17.2757565440957,8.20241220792893,"England"
"263","Derby","E06000015",257302,"ASD",49.5066712970574,19.2406865461821,"England"
"264","Leicester","E06000016",354224,"ASD",55.759044318472,15.7411819409391,"England"
"265","Rutland","E06000017",39927,"ASD",NA,NA,"England"
"266","Nottingham","E06000018",332900,"ASD",61.2350076364499,18.3944150304746,"England"
"267","Herefordshire","E06000019",192801,"ASD",16.6133008969353,8.61681261867695,"England"
"268","Telford and Wrekin","E06000020",179854,"ASD",25.1567557861592,13.987320707996,"England"
"269","Stoke-on-Trent","E06000021",256375,"ASD",58.9150317300456,22.9800221277604,"England"
"270","Bath and North East Somerset","E06000022",193282,"ASD",19.7134405696788,10.1993152852717,"England"
"271","Bristol","E06000023",463377,"ASD",62.4961071545436,13.4870973644664,"England"
"272","North Somerset","E06000024",215052,"ASD",23.9708606006678,11.1465415809515,"England"
"273","South Gloucestershire","E06000025",285093,"ASD",21.3747448461844,7.49746393148357,"England"
"274","Plymouth","E06000026",262100,"ASD",29.863406289744,11.3938978594979,"England"
"275","Torbay","E06000027",136264,"ASD",22.9417928460301,16.8362831312967,"England"
"276","Swindon","E06000030",222193,"ASD",20.4565466373454,9.2066566621565,"England"
"277","Peterborough","E06000031",202259,"ASD",25.6767710627298,12.6949955565536,"England"
"278","Luton","E06000032",213052,"ASD",14.0393966912812,6.58965730961514,"England"
"279","Southend-on-Sea","E06000033",183125,"ASD",22.5398907317936,12.3084727545631,"England"
"280","Thurrock","E06000034",174341,"ASD",12.0720498240392,6.92438945746511,"England"
"281","Medway","E06000035",278556,"ASD",23.1755145009877,8.31987625503945,"England"
"282","Bracknell Forest","E06000036",122549,"ASD",6.37751811667425,5.20405561585509,"England"
"283","West Berkshire","E06000037",158450,"ASD",14.0523801034593,8.86865263708382,"England"
"284","Reading","E06000038",161780,"ASD",25.8444251284725,15.9750433480483,"England"
"285","Slough","E06000039",149539,"ASD",11.3953448167648,7.62031631665639,"England"
"286","Windsor and Maidenhead","E06000040",151422,"ASD",13.282838941306,8.77206676791087,"England"
"287","Wokingham","E06000041",171119,"ASD",8.8087218568518,5.14771700211654,"England"
"288","Milton Keynes","E06000042",269457,"ASD",29.2183388065726,10.8434142763308,"England"
"289","Brighton and Hove","E06000043",290885,"ASD",53.3952892350255,18.3561507932776,"England"
"290","Portsmouth","E06000044",214905,"ASD",33.168927211728,15.4342277805207,"England"
"291","Southampton","E06000045",252520,"ASD",45.3710336104579,17.9673030296443,"England"
"292","Isle of Wight","E06000046",141771,"ASD",18.5367314869904,13.0751221949414,"England"
"293","County Durham","E06000047",530094,"ASD",72.2712924418968,13.6336748655704,"England"
"294","Cheshire East","E06000049",384152,"ASD",32.9641746371239,8.58102382315434,"England"
"295","Cheshire West and Chester","E06000050",343071,"ASD",39.395230240311,11.4831128950891,"England"
"296","Shropshire","E06000051",323136,"ASD",29.1329702722748,9.01569935639322,"England"
"297","Cornwall","E06000052",569578,"ASD",61.9991120456125,10.8850959913502,"England"
"298","Isles of Scilly","E06000053",2224,"ASD",NA,NA,"England"
"299","Wiltshire","E06000054",500024,"ASD",39.8874339088628,7.97710388078628,"England"
"300","Bedford","E06000055",173292,"ASD",15.210598105708,8.77743814238857,"England"
"301","Central Bedfordshire","E06000056",288648,"ASD",17.7419395804495,6.14656591434879,"England"
"302","Northumberland","E06000057",322434,"ASD",38.114774396577,11.8209538685675,"England"
"303","Bournemouth, Christchurch and Poole","E06000058",395331,"ASD",43.4271151453024,10.9850012129842,"England"
"304","Dorset","E06000059",378508,"ASD",33.7888151626921,8.92684306875736,"England"
"305","Bolton","E08000001",287550,"ASD",49.6927760581927,17.2814383787838,"England"
"306","Bury","E08000002",190990,"ASD",27.4862532362776,14.3914619803537,"England"
"307","Manchester","E08000003",552858,"ASD",81.3993934519128,14.7233816733977,"England"
"308","Oldham","E08000004",237110,"ASD",35.3728227114425,14.918317536773,"England"
"309","Rochdale","E08000005",222412,"ASD",34.4198657329778,15.4757233121314,"England"
"310","Salford","E08000006",258834,"ASD",38.4426326368224,14.8522344965586,"England"
"311","Stockport","E08000007",293423,"ASD",42.097792894833,14.3471346468522,"England"
"312","Tameside","E08000008",226493,"ASD",41.1879074672926,18.1850686190269,"England"
"313","Trafford","E08000009",237354,"ASD",32.1984591864739,13.5655852382829,"England"
"314","Wigan","E08000010",328662,"ASD",56.2449378773,17.1133072510056,"England"
"315","Knowsley","E08000011",150862,"ASD",24.14664297732,16.0057820904668,"England"
"316","Liverpool","E08000012",498042,"ASD",95.7187523673939,19.2190121249601,"England"
"317","St. Helens","E08000013",180585,"ASD",29.0214913971723,16.0708206092268,"England"
"318","Sefton","E08000014",276410,"ASD",40.4412473701152,14.6308915632992,"England"
"319","Wirral","E08000015",324011,"ASD",55.4946502535484,17.1273969876172,"England"
"320","Barnsley","E08000016",246866,"ASD",31.2575161694908,12.6617339647788,"England"
"321","Doncaster","E08000017",311890,"ASD",34.430631862596,11.0393510092007,"England"
"322","Rotherham","E08000018",265411,"ASD",34.6023605472125,13.0372744713718,"England"
"323","Sheffield","E08000019",584853,"ASD",89.2802903575998,15.2654240223782,"England"
"324","Newcastle upon Tyne","E08000021",302820,"ASD",54.0355754105826,17.8441237073452,"England"
"325","North Tyneside","E08000022",207913,"ASD",31.031512576375,14.9252391992684,"England"
"326","South Tyneside","E08000023",150976,"ASD",33.001166757461,21.8585515296875,"England"
"327","Sunderland","E08000024",277705,"ASD",49.8949984818999,17.9669067830611,"England"
"328","Birmingham","E08000025",1141816,"ASD",170.347155516381,14.9189672868817,"England"
"329","Coventry","E08000026",371521,"ASD",48.6012764341527,13.0817037083106,"England"
